account_id,amount,category_id,created_at,description,title,transaction_date,type,updated_at,user_id
dc7ea399-000e-4a42-8587-14b0a077113f,1299.99,62783ccb-51ae-475a-a2ba-045a8e2007cf,2026-07-28T18:15:00Z,New laptop purchase,New Laptop,2026-07-28,expense,2026-07-28T18:15:00Z,da2432a5-848f-47e8-a83d-56f06d06c92f
dc7ea399-000e-4a42-8587-14b0a077113f,55.00,62783ccb-51ae-475a-a2ba-045a8e2007cf,2026-07-27T16:30:00Z,Gas for car,Gas Station,2026-07-27,expense,2026-07-27T16:30:00Z,da2432a5-848f-47e8-a83d-56f06d06c92f
dc7ea399-000e-4a42-8587-14b0a077113f,180.00,62783ccb-51ae-475a-a2ba-045a8e2007cf,2026-07-26T14:00:00Z,Dentist appointment,Dental Visit,2026-07-26,expense,2026-07-26T14:00:00Z,da2432a5-848f-47e8-a83d-56f06d06c92f
dc7ea399-000e-4a42-8587-14b0a077113f,42.50,62783ccb-51ae-475a-a2ba-045a8e2007cf,2026-07-25T21:00:00Z,Movie tickets,Movie Night,2026-07-25,expense,2026-07-25T21:00:00Z,da2432a5-848f-47e8-a83d-56f06d06c92f
dc7ea399-000e-4a42-8587-14b0a077113f,5600.00,62783ccb-51ae-475a-a2ba-045a8e2007cf,2026-07-24T10:30:00Z,Project bonus,Work Bonus,2026-07-24,income,2026-07-24T10:30:00Z,da2432a5-848f-47e8-a83d-56f06d06c92f
dc7ea399-000e-4a42-8587-14b0a077113f,95.80,62783ccb-51ae-475a-a2ba-045a8e2007cf,2026-07-23T11:15:00Z,Prescription medicine,Healthcare,2026-07-23,expense,2026-07-23T11:15:00Z,da2432a5-848f-47e8-a83d-56f06d06c92f
dc7ea399-000e-4a42-8587-14b0a077113f,34.99,62783ccb-51ae-475a-a2ba-045a8e2007cf,2026-07-22T13:45:00Z,Spotify premium,Music Subscription,2026-07-22,expense,2026-07-22T13:45:00Z,da2432a5-848f-47e8-a83d-56f06d06c92f
dc7ea399-000e-4a42-8587-14b0a077113f,150.00,62783ccb-51ae-475a-a2ba-045a8e2007cf,2026-07-21T08:00:00Z,Electricity bill,Utility Bill,2026-07-21,expense,2026-07-21T08:00:00Z,da2432a5-848f-47e8-a83d-56f06d06c92f
dc7ea399-000e-4a42-8587-14b0a077113f,275.50,62783ccb-51ae-475a-a2ba-045a8e2007cf,2026-07-20T12:30:00Z,Restaurant dinner,Dinner with Friends,2026-07-20,expense,2026-07-20T12:30:00Z,da2432a5-848f-47e8-a83d-56f06d06c92f
dc7ea399-000e-4a42-8587-14b0a077113f,3800.00,62783ccb-51ae-475a-a2ba-045a8e2007cf,2026-07-19T09:15:00Z,Monthly salary,Salary Payment,2026-07-19,income,2026-07-19T09:15:00Z,da2432a5-848f-47e8-a83d-56f06d06c92f
dc7ea399-000e-4a42-8587-14b0a077113f,199.99,62783ccb-51ae-475a-a2ba-045a8e2007cf,2026-07-18T15:45:00Z,Amazon purchase,Amazon Purchase,2026-07-18,expense,2026-07-18T15:45:00Z,da2432a5-848f-47e8-a83d-56f06d06c92f
dc7ea399-000e-4a42-8587-14b0a077113f,22.30,62783ccb-51ae-475a-a2ba-045a8e2007cf,2026-07-17T10:20:00Z,Uber ride,Taxi Ride,2026-07-17,expense,2026-07-17T10:20:00Z,da2432a5-848f-47e8-a83d-56f06d06c92f
dc7ea399-000e-4a42-8587-14b0a077113f,85.00,62783ccb-51ae-475a-a2ba-045a8e2007cf,2026-07-16T17:00:00Z,Internet bill,Internet Bill,2026-07-16,expense,2026-07-16T17:00:00Z,da2432a5-848f-47e8-a83d-56f06d06c92f
dc7ea399-000e-4a42-8587-14b0a077113f,430.00,62783ccb-51ae-475a-a2ba-045a8e2007cf,2026-07-15T14:30:00Z,Vintage watch sale,Watch Sale,2026-07-15,income,2026-07-15T14:30:00Z,da2432a5-848f-47e8-a83d-56f06d06c92f
dc7ea399-000e-4a42-8587-14b0a077113f,64.50,62783ccb-51ae-475a-a2ba-045a8e2007cf,2026-07-14T19:00:00Z,Takeout dinner,Takeout Dinner,2026-07-14,expense,2026-07-14T19:00:00Z,da2432a5-848f-47e8-a83d-56f06d06c92f
dc7ea399-000e-4a42-8587-14b0a077113f,310.00,62783ccb-51ae-475a-a2ba-045a8e2007cf,2026-07-13T13:15:00Z,Theater tickets,Theater Show,2026-07-13,expense,2026-07-13T13:15:00Z,da2432a5-848f-47e8-a83d-56f06d06c92f
dc7ea399-000e-4a42-8587-14b0a077113f,1750.00,62783ccb-51ae-475a-a2ba-045a8e2007cf,2026-07-12T11:00:00Z,Freelance design project,Design Project,2026-07-12,income,2026-07-12T11:00:00Z,da2432a5-848f-47e8-a83d-56f06d06c92f
dc7ea399-000e-4a42-8587-14b0a077113f,98.75,62783ccb-51ae-475a-a2ba-045a8e2007cf,2026-07-11T16:45:00Z,New shoes,Shoe Purchase,2026-07-11,expense,2026-07-11T16:45:00Z,da2432a5-848f-47e8-a83d-56f06d06c92f
dc7ea399-000e-4a42-8587-14b0a077113f,45.00,62783ccb-51ae-475a-a2ba-045a8e2007cf,2026-07-10T09:30:00Z,Pharmacy visit,Pharmacy,2026-07-10,expense,2026-07-10T09:30:00Z,da2432a5-848f-47e8-a83d-56f06d06c92f
dc7ea399-000e-4a42-8587-14b0a077113f,5200.00,62783ccb-51ae-475a-a2ba-045a8e2007cf,2026-07-09T12:00:00Z,July salary,Monthly Salary,2026-07-09,income,2026-07-09T12:00:00Z,da2432a5-848f-47e8-a83d-56f06d06c92f
dc7ea399-000e-4a42-8587-14b0a077113f,112.40,62783ccb-51ae-475a-a2ba-045a8e2007cf,2026-07-08T18:30:00Z,Sushi dinner,Sushi Night,2026-07-08,expense,2026-07-08T18:30:00Z,da2432a5-848f-47e8-a83d-56f06d06c92f
dc7ea399-000e-4a42-8587-14b0a077113f,299.99,62783ccb-51ae-475a-a2ba-045a8e2007cf,2026-07-07T14:20:00Z,Tennis lessons,Sports Activity,2026-07-07,expense,2026-07-07T14:20:00Z,da2432a5-848f-47e8-a83d-56f06d06c92f
dc7ea399-000e-4a42-8587-14b0a077113f,87.60,62783ccb-51ae-475a-a2ba-045a8e2007cf,2026-07-06T10:10:00Z,Car maintenance,Car Service,2026-07-06,expense,2026-07-06T10:10:00Z,da2432a5-848f-47e8-a83d-56f06d06c92f
dc7ea399-000e-4a42-8587-14b0a077113f,190.00,62783ccb-51ae-475a-a2ba-045a8e2007cf,2026-07-05T08:45:00Z,Train tickets,Travel Expense,2026-07-05,expense,2026-07-05T08:45:00Z,da2432a5-848f-47e8-a83d-56f06d06c92f
dc7ea399-000e-4a42-8587-14b0a077113f,2800.00,62783ccb-51ae-475a-a2ba-045a8e2007cf,2026-07-04T16:00:00Z,Contract payment,Contract Work,2026-07-04,income,2026-07-04T16:00:00Z,da2432a5-848f-47e8-a83d-56f06d06c92f
dc7ea399-000e-4a42-8587-14b0a077113f,76.25,62783ccb-51ae-475a-a2ba-045a8e2007cf,2026-07-03T13:30:00Z,Bookstore purchase,Books Shopping,2026-07-03,expense,2026-07-03T13:30:00Z,da2432a5-848f-47e8-a83d-56f06d06c92f
dc7ea399-000e-4a42-8587-14b0a077113f,156.80,62783ccb-51ae-475a-a2ba-045a8e2007cf,2026-07-02T11:45:00Z,Water bill,Water Bill,2026-07-02,expense,2026-07-02T11:45:00Z,da2432a5-848f-47e8-a83d-56f06d06c92f
dc7ea399-000e-4a42-8587-14b0a077113f,425.00,62783ccb-51ae-475a-a2ba-045a8e2007cf,2026-07-01T09:00:00Z,Investment dividend,Dividend Payment,2026-07-01,income,2026-07-01T09:00:00Z,da2432a5-848f-47e8-a83d-56f06d06c92f
dc7ea399-000e-4a42-8587-14b0a077113f,33.75,62783ccb-51ae-475a-a2ba-045a8e2007cf,2026-06-30T15:15:00Z,Ice cream treat,Ice Cream,2026-06-30,expense,2026-06-30T15:15:00Z,da2432a5-848f-47e8-a83d-56f06d06c92f
dc7ea399-000e-4a42-8587-14b0a077113f,129.50,62783ccb-51ae-475a-a2ba-045a8e2007cf,2026-06-29T20:00:00Z,Concert tickets,Live Concert,2026-06-29,expense,2026-06-29T20:00:00Z,da2432a5-848f-47e8-a83d-56f06d06c92f
dc7ea399-000e-4a42-8587-14b0a077113f,4900.00,62783ccb-51ae-475a-a2ba-045a8e2007cf,2026-06-28T10:30:00Z,Project completion bonus,Project Bonus,2026-06-28,income,2026-06-28T10:30:00Z,da2432a5-848f-47e8-a83d-56f06d06c92f
dc7ea399-000e-4a42-8587-14b0a077113f,68.90,62783ccb-51ae-475a-a2ba-045a8e2007cf,2026-06-27T17:45:00Z,Parking and tolls,Toll Fees,2026-06-27,expense,2026-06-27T17:45:00Z,da2432a5-848f-47e8-a83d-56f06d06c92f
dc7ea399-000e-4a42-8587-14b0a077113f,215.00,62783ccb-51ae-475a-a2ba-045a8e2007cf,2026-06-26T14:30:00Z,Clothing shopping,Clothes Shopping,2026-06-26,expense,2026-06-26T14:30:00Z,da2432a5-848f-47e8-a83d-56f06d06c92f
dc7ea399-000e-4a42-8587-14b0a077113f,52.00,62783ccb-51ae-475a-a2ba-045a8e2007cf,2026-06-25T19:15:00Z,Movie theater,Cinema Visit,2026-06-25,expense,2026-06-25T19:15:00Z,da2432a5-848f-47e8-a83d-56f06d06c92f
dc7ea399-000e-4a42-8587-14b0a077113f,3200.00,62783ccb-51ae-475a-a2ba-045a8e2007cf,2026-06-24T08:00:00Z,Monthly salary,Salary Income,2026-06-24,income,2026-06-24T08:00:00Z,da2432a5-848f-47e8-a83d-56f06d06c92f
dc7ea399-000e-4a42-8587-14b0a077113f,99.99,62783ccb-51ae-475a-a2ba-045a8e2007cf,2026-06-23T12:00:00Z,Business lunch,Business Lunch,2026-06-23,expense,2026-06-23T12:00:00Z,da2432a5-848f-47e8-a83d-56f06d06c92f
dc7ea399-000e-4a42-8587-14b0a077113f,185.40,62783ccb-51ae-475a-a2ba-045a8e2007cf,2026-06-22T11:30:00Z,Medical checkup,Health Checkup,2026-06-22,expense,2026-06-22T11:30:00Z,da2432a5-848f-47e8-a83d-56f06d06c92f
